,Date,Korean won   (KRW)                     
0,3-Jan-1994,807.2
1,4-Jan-1994,808.1
2,5-Jan-1994,809.0
3,6-Jan-1994,811.3
4,7-Jan-1994,813.0
5,10-Jan-1994,813.4
6,11-Jan-1994,812.0
7,12-Jan-1994,811.7
8,13-Jan-1994,811.3
9,14-Jan-1994,811.0
10,17-Jan-1994,811.5
11,18-Jan-1994,812.3
12,19-Jan-1994,812.0
13,20-Jan-1994,810.6
14,21-Jan-1994,810.5
15,24-Jan-1994,810.2
16,25-Jan-1994,809.4
17,26-Jan-1994,809.1
18,27-Jan-1994,808.7
19,28-Jan-1994,808.4
20,31-Jan-1994,808.1
21,1-Feb-1994,808.8
22,2-Feb-1994,807.9
23,3-Feb-1994,807.7
24,4-Feb-1994,807.6
25,7-Feb-1994,807.6
26,8-Feb-1994,808.7
30,14-Feb-1994,811.0
31,15-Feb-1994,812.4
32,16-Feb-1994,810.8
33,17-Feb-1994,811.0
34,18-Feb-1994,810.5
35,21-Feb-1994,810.1
36,22-Feb-1994,809.4
37,23-Feb-1994,809.3
38,24-Feb-1994,808.3
39,25-Feb-1994,808.1
40,28-Feb-1994,808.0
42,2-Mar-1994,808.6
43,3-Mar-1994,807.1
44,4-Mar-1994,807.4
45,7-Mar-1994,807.0
46,8-Mar-1994,807.3
47,9-Mar-1994,808.8
48,10-Mar-1994,808.6
49,11-Mar-1994,809.3
50,14-Mar-1994,806.4
51,15-Mar-1994,807.0
52,16-Mar-1994,807.2
53,17-Mar-1994,806.5
54,18-Mar-1994,806.3
55,21-Mar-1994,806.8
56,22-Mar-1994,807.2
57,23-Mar-1994,807.5
58,24-Mar-1994,808.0
59,25-Mar-1994,808.0
60,28-Mar-1994,809.0
61,29-Mar-1994,808.8
62,30-Mar-1994,807.6
63,31-Mar-1994,806.5
64,1-Apr-1994,807.2
65,4-Apr-1994,807.9
67,6-Apr-1994,809.8
68,7-Apr-1994,809.3
69,8-Apr-1994,809.2
70,11-Apr-1994,811.1
71,12-Apr-1994,810.3
72,13-Apr-1994,810.3
73,14-Apr-1994,809.4
74,15-Apr-1994,809.2
75,18-Apr-1994,809.2
76,19-Apr-1994,809.0
77,20-Apr-1994,808.4
78,21-Apr-1994,807.4
79,22-Apr-1994,807.4
80,25-Apr-1994,807.2
81,26-Apr-1994,807.4
82,27-Apr-1994,807.2
